"District","District Code","Special Education Status","Count","%"
"Andover School District","=""0010011""","Students with Disabilities","*","*"
"Ansonia School District","=""0020011""","Students with Disabilities",38,11.7
"Ashford School District","=""0030011""","Students with Disabilities","*","*"
"Avon School District","=""0040011""","Students with Disabilities",15,3.5
"Barkhamsted School District","=""0050011""","Students with Disabilities","N/A","N/A"
"Berlin School District","=""0070011""","Students with Disabilities",58,17.0
"Bethany School District","=""0080011""","Students with Disabilities","N/A","N/A"
"Bethel School District","=""0090011""","Students with Disabilities",31,8.7
"Bloomfield School District","=""0110011""","Students with Disabilities",54,21.3
"Bolton School District","=""0120011""","Students with Disabilities",15,15.3
"Bozrah School District","=""0130011""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Students with Disabilities",43,8.3
"Bridgeport School District","=""0150011""","Students with Disabilities",610,21.1
"Bristol School District","=""0170011""","Students with Disabilities",247,17.3
"Brookfield School District","=""0180011""","Students with Disabilities",13,4.5
"Brooklyn School District","=""0190011""","Students with Disabilities",6,4.9
"Canaan School District","=""0210011""","Students with Disabilities","N/A","*"
"Canterbury School District","=""0220011""","Students with Disabilities",6,8.1
"Canton School District","=""0230011""","Students with Disabilities",8,4.1
"Chaplin School District","=""0240011""","Students with Disabilities","N/A","N/A"
"Cheshire School District","=""0250011""","Students with Disabilities",41,7.2
"Chester School District","=""0260011""","Students with Disabilities","N/A","N/A"
"Clinton School District","=""0270011""","Students with Disabilities",37,13.1
"Colchester School District","=""0280011""","Students with Disabilities",43,9.9
"Colebrook School District","=""0290011""","Students with Disabilities","*","*"
"Columbia School District","=""0300011""","Students with Disabilities","*","*"
"Cornwall School District","=""0310011""","Students with Disabilities","N/A","*"
"Coventry School District","=""0320011""","Students with Disabilities",52,21.1
"Cromwell School District","=""0330011""","Students with Disabilities",31,14.0
"Danbury School District","=""0340011""","Students with Disabilities",190,14.8
"Darien School District","=""0350011""","Students with Disabilities",20,2.9
"Deep River School District","=""0360011""","Students with Disabilities","*","*"
"Derby School District","=""0370011""","Students with Disabilities",22,12.8
"Eastford School District","=""0390011""","Students with Disabilities","N/A","N/A"
"East Granby School District","=""0400011""","Students with Disabilities",6,6.3
"East Haddam School District","=""0410011""","Students with Disabilities",9,4.7
"East Hampton School District","=""0420011""","Students with Disabilities",15,8.5
"East Hartford School District","=""0430011""","Students with Disabilities",248,19.8
"East Haven School District","=""0440011""","Students with Disabilities",85,17.3
"East Lyme School District","=""0450011""","Students with Disabilities",26,6.0
"Easton School District","=""0460011""","Students with Disabilities","*","*"
"East Windsor School District","=""0470011""","Students with Disabilities",37,18.3
"Ellington School District","=""0480011""","Students with Disabilities",40,12.6
"Enfield School District","=""0490011""","Students with Disabilities",115,13.0
"Essex School District","=""0500011""","Students with Disabilities","*","*"
"Fairfield School District","=""0510011""","Students with Disabilities",54,4.3
"Farmington School District","=""0520011""","Students with Disabilities",27,5.6
"Franklin School District","=""0530011""","Students with Disabilities","N/A","N/A"
"Glastonbury School District","=""0540011""","Students with Disabilities",44,5.8
"Granby School District","=""0560011""","Students with Disabilities",9,4.2
"Greenwich School District","=""0570011""","Students with Disabilities",76,7.6
"Griswold School District","=""0580011""","Students with Disabilities",62,21.5
"Groton School District","=""0590011""","Students with Disabilities",99,12.6
"Guilford School District","=""0600011""","Students with Disabilities",24,5.9
"Hamden School District","=""0620011""","Students with Disabilities",162,18.3
"Hampton School District","=""0630011""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Students with Disabilities",698,20.0
"Hartland School District","=""0650011""","Students with Disabilities","N/A","N/A"
"Hebron School District","=""0670011""","Students with Disabilities","N/A","N/A"
"Kent School District","=""0680011""","Students with Disabilities","N/A","N/A"
"Killingly School District","=""0690011""","Students with Disabilities",50,11.8
"Lebanon School District","=""0710011""","Students with Disabilities","*","*"
"Ledyard School District","=""0720011""","Students with Disabilities",19,5.0
"Lisbon School District","=""0730011""","Students with Disabilities","*","*"
"Litchfield School District","=""0740011""","Students with Disabilities",11,8.3
"Madison School District","=""0760011""","Students with Disabilities",39,9.0
"Manchester School District","=""0770011""","Students with Disabilities",191,17.7
"Mansfield School District","=""0780011""","Students with Disabilities",6,3.2
"Marlborough School District","=""0790011""","Students with Disabilities","*","*"
"Meriden School District","=""0800011""","Students with Disabilities",279,20.1
"Middletown School District","=""0830011""","Students with Disabilities",100,14.7
"Milford School District","=""0840011""","Students with Disabilities",77,8.3
"Monroe School District","=""0850011""","Students with Disabilities",7,1.7
"Montville School District","=""0860011""","Students with Disabilities",60,18.1
"Naugatuck School District","=""0880011""","Students with Disabilities",113,18.3
"New Britain School District","=""0890011""","Students with Disabilities",215,12.7
"New Canaan School District","=""0900011""","Students with Disabilities",13,2.7
"New Fairfield School District","=""0910011""","Students with Disabilities",34,9.0
"New Hartford School District","=""0920011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Students with Disabilities",357,14.0
"Newington School District","=""0940011""","Students with Disabilities",54,9.0
"New London School District","=""0950011""","Students with Disabilities",142,25.1
"New Milford School District","=""0960011""","Students with Disabilities",98,13.9
"Newtown School District","=""0970011""","Students with Disabilities",37,7.3
"Norfolk School District","=""0980011""","Students with Disabilities","N/A","N/A"
"North Branford School District","=""0990011""","Students with Disabilities",59,19.0
"North Canaan School District","=""1000011""","Students with Disabilities","*","*"
"North Haven School District","=""1010011""","Students with Disabilities",34,8.2
"North Stonington School District","=""1020011""","Students with Disabilities",8,10.7
"Norwalk School District","=""1030011""","Students with Disabilities",200,16.0
"Norwich School District","=""1040011""","Students with Disabilities",115,16.2
"Old Saybrook School District","=""1060011""","Students with Disabilities",11,4.9
"Orange School District","=""1070011""","Students with Disabilities","*","*"
"Oxford School District","=""1080011""","Students with Disabilities",10,6.0
"Plainfield School District","=""1090011""","Students with Disabilities",55,15.2
"Plainville School District","=""1100011""","Students with Disabilities",39,10.0
"Plymouth School District","=""1110011""","Students with Disabilities",30,11.5
"Pomfret School District","=""1120011""","Students with Disabilities","*","*"
"Portland School District","=""1130011""","Students with Disabilities",8,5.8
"Preston School District","=""1140011""","Students with Disabilities","*","*"
"Putnam School District","=""1160011""","Students with Disabilities",31,14.2
"Redding School District","=""1170011""","Students with Disabilities",7,3.8
"Ridgefield School District","=""1180011""","Students with Disabilities",22,4.3
"Rocky Hill School District","=""1190011""","Students with Disabilities",19,7.5
"Salem School District","=""1210011""","Students with Disabilities","*","*"
"Salisbury School District","=""1220011""","Students with Disabilities","N/A","N/A"
"Scotland School District","=""1230011""","Students with Disabilities","*","*"
