"District","District Code","Special Education Status","Count","%"
"New Beginnings Inc., Family Academy District","=""2800013""","Students with Disabilities",8,18.2
"Stamford Academy District","=""2820013""","Students with Disabilities",10,38.5
"Park City Prep Charter School District","=""2830013""","Students with Disabilities",7,24.1
"Bridgeport Achievement First District","=""2850013""","Students with Disabilities",43,44.8
"Highville Charter School District","=""2860013""","Students with Disabilities","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Students with Disabilities",35,36.1
"Elm City College Preparatory School District","=""2890013""","Students with Disabilities",8,22.2
"Brass City Charter School District","=""2900013""","Students with Disabilities","N/A","*"
"Elm City Montessori School District","=""2910013""","Students with Disabilities","N/A","*"
"Path Academy District","=""2930013""","Students with Disabilities",19,48.7
"Great Oaks Charter School District","=""2940013""","Students with Disabilities",11,"*"
"Booker T. Washington Academy District","=""2950013""","Students with Disabilities","N/A","*"
"Unified School District #1","=""3360015""","Students with Disabilities","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities","N/A","*"
"Unified School District #2","=""3470015""","Students with Disabilities",46,25.0
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",167,17.5
"Norwich Free Academy District","=""9010022""","Students with Disabilities",80,27.3
"The Gilbert School District","=""9020022""","Students with Disabilities",49,51.0
"Woodstock Academy District","=""9030022""","Students with Disabilities",6,10.9
"Andover School District","=""0010011""","Students with Disabilities","*","*"
"Ansonia School District","=""0020011""","Students with Disabilities",50,10.9
"Ashford School District","=""0030011""","Students with Disabilities","*","*"
"Avon School District","=""0040011""","Students with Disabilities",13,3.7
"Barkhamsted School District","=""0050011""","Students with Disabilities","*","*"
"Berlin School District","=""0070011""","Students with Disabilities",29,7.6
"Bethany School District","=""0080011""","Students with Disabilities","*","*"
"Bethel School District","=""0090011""","Students with Disabilities",55,15.1
"Bloomfield School District","=""0110011""","Students with Disabilities",53,16.3
"Bolton School District","=""0120011""","Students with Disabilities",14,12.7
"Bozrah School District","=""0130011""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Students with Disabilities",57,12.4
"Bridgeport School District","=""0150011""","Students with Disabilities",749,22.1
"Bristol School District","=""0170011""","Students with Disabilities",250,16.1
"Brookfield School District","=""0180011""","Students with Disabilities",15,4.1
"Brooklyn School District","=""0190011""","Students with Disabilities",7,5.7
"Canaan School District","=""0210011""","Students with Disabilities","N/A","*"
"Canterbury School District","=""0220011""","Students with Disabilities","*","*"
"Canton School District","=""0230011""","Students with Disabilities",8,4.0
"Chaplin School District","=""0240011""","Students with Disabilities","N/A","N/A"
"Cheshire School District","=""0250011""","Students with Disabilities",44,7.9
"Chester School District","=""0260011""","Students with Disabilities","*","*"
"Clinton School District","=""0270011""","Students with Disabilities",24,10.3
"Colchester School District","=""0280011""","Students with Disabilities",47,11.1
"Colebrook School District","=""0290011""","Students with Disabilities","*","*"
"Columbia School District","=""0300011""","Students with Disabilities",6,8.1
"Cornwall School District","=""0310011""","Students with Disabilities","*","*"
"Coventry School District","=""0320011""","Students with Disabilities",23,9.1
"Cromwell School District","=""0330011""","Students with Disabilities",44,16.9
