"District","District Code","Special Education Status","Count","%"
"Derby School District","=""0370011""","Students with Disabilities",52,21.3
"Eastford School District","=""0390011""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","Students with Disabilities",6,6.1
"East Haddam School District","=""0410011""","Students with Disabilities","N/A","N/A"
"East Hampton School District","=""0420011""","Students with Disabilities",15,8.2
"East Hartford School District","=""0430011""","Students with Disabilities",251,19.7
"East Haven School District","=""0440011""","Students with Disabilities",63,13.3
"East Lyme School District","=""0450011""","Students with Disabilities",23,5.4
"Easton School District","=""0460011""","Students with Disabilities","*","*"
"East Windsor School District","=""0470011""","Students with Disabilities",31,13.2
"Ellington School District","=""0480011""","Students with Disabilities",26,7.6
"Enfield School District","=""0490011""","Students with Disabilities",120,14.2
"Essex School District","=""0500011""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Students with Disabilities",58,4.5
"Farmington School District","=""0520011""","Students with Disabilities",27,5.3
"Franklin School District","=""0530011""","Students with Disabilities","N/A","N/A"
"Glastonbury School District","=""0540011""","Students with Disabilities",54,7.7
"Granby School District","=""0560011""","Students with Disabilities",11,4.6
"Greenwich School District","=""0570011""","Students with Disabilities",50,5.1
"Griswold School District","=""0580011""","Students with Disabilities",40,12.7
"Groton School District","=""0590011""","Students with Disabilities",118,14.2
"Guilford School District","=""0600011""","Students with Disabilities",18,4.1
"Hamden School District","=""0620011""","Students with Disabilities",145,15.2
"Hampton School District","=""0630011""","Students with Disabilities","N/A","N/A"
"Hartford School District","=""0640011""","Students with Disabilities",814,20.9
"Hartland School District","=""0650011""","Students with Disabilities","*","*"
"Hebron School District","=""0670011""","Students with Disabilities","*","*"
"Kent School District","=""0680011""","Students with Disabilities","N/A","N/A"
"Killingly School District","=""0690011""","Students with Disabilities",47,10.2
"Lebanon School District","=""0710011""","Students with Disabilities","*","*"
"Ledyard School District","=""0720011""","Students with Disabilities",29,6.9
"Lisbon School District","=""0730011""","Students with Disabilities","*","*"
"Litchfield School District","=""0740011""","Students with Disabilities",7,5.9
"Madison School District","=""0760011""","Students with Disabilities",17,4.0
"Manchester School District","=""0770011""","Students with Disabilities",178,18.4
"Mansfield School District","=""0780011""","Students with Disabilities",9,4.9
"Marlborough School District","=""0790011""","Students with Disabilities","*","*"
"Meriden School District","=""0800011""","Students with Disabilities",255,16.7
"Middletown School District","=""0830011""","Students with Disabilities",84,12.3
"Milford School District","=""0840011""","Students with Disabilities",101,11.3
"Monroe School District","=""0850011""","Students with Disabilities",15,3.6
"Montville School District","=""0860011""","Students with Disabilities",38,11.0
"Naugatuck School District","=""0880011""","Students with Disabilities",103,14.4
"New Britain School District","=""0890011""","Students with Disabilities",454,24.8
"New Canaan School District","=""0900011""","Students with Disabilities",9,2.0
"New Fairfield School District","=""0910011""","Students with Disabilities",23,7.5
"New Hartford School District","=""0920011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Students with Disabilities",334,11.7
"Newington School District","=""0940011""","Students with Disabilities",81,13.2
"New London School District","=""0950011""","Students with Disabilities",161,24.1
"New Milford School District","=""0960011""","Students with Disabilities",92,14.0
"Newtown School District","=""0970011""","Students with Disabilities",35,7.0
"Norfolk School District","=""0980011""","Students with Disabilities","N/A","N/A"
"North Branford School District","=""0990011""","Students with Disabilities",44,13.3
"North Canaan School District","=""1000011""","Students with Disabilities","*","*"
"North Haven School District","=""1010011""","Students with Disabilities",27,6.6
"North Stonington School District","=""1020011""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Students with Disabilities",158,10.6
"Norwich School District","=""1040011""","Students with Disabilities",70,9.6
"Old Saybrook School District","=""1060011""","Students with Disabilities",11,4.8
"Orange School District","=""1070011""","Students with Disabilities","*","*"
"Oxford School District","=""1080011""","Students with Disabilities",15,5.9
"Plainfield School District","=""1090011""","Students with Disabilities",55,15.8
"Plainville School District","=""1100011""","Students with Disabilities",26,6.8
"Plymouth School District","=""1110011""","Students with Disabilities",27,10.5
"Pomfret School District","=""1120011""","Students with Disabilities","*","*"
