"District","District Code","Special Education Status","Count","%"
"Andover School District","=""0010011""","Students with Disabilities","*","*"
"Ansonia School District","=""0020011""","Students with Disabilities",44,12.5
"Ashford School District","=""0030011""","Students with Disabilities","*","*"
"Avon School District","=""0040011""","Students with Disabilities",24,5.9
"Barkhamsted School District","=""0050011""","Students with Disabilities","*","*"
"Berlin School District","=""0070011""","Students with Disabilities",32,9.1
"Bethany School District","=""0080011""","Students with Disabilities","*","*"
"Bethel School District","=""0090011""","Students with Disabilities",51,13.7
"Bloomfield School District","=""0110011""","Students with Disabilities",53,19.6
"Bolton School District","=""0120011""","Students with Disabilities","*","*"
"Bozrah School District","=""0130011""","Students with Disabilities","*","*"
"Branford School District","=""0140011""","Students with Disabilities",50,10.5
"Bridgeport School District","=""0150011""","Students with Disabilities",633,22.3
"Bristol School District","=""0170011""","Students with Disabilities",236,15.8
"Brookfield School District","=""0180011""","Students with Disabilities",25,7.4
"Brooklyn School District","=""0190011""","Students with Disabilities",9,7.1
"Canaan School District","=""0210011""","Students with Disabilities","N/A","*"
"Canterbury School District","=""0220011""","Students with Disabilities","*","*"
"Canton School District","=""0230011""","Students with Disabilities",14,7.5
"Chaplin School District","=""0240011""","Students with Disabilities","*","*"
"Cheshire School District","=""0250011""","Students with Disabilities",34,6.2
"Chester School District","=""0260011""","Students with Disabilities","*","*"
"Clinton School District","=""0270011""","Students with Disabilities",29,12.0
"Colchester School District","=""0280011""","Students with Disabilities",40,9.7
"Colebrook School District","=""0290011""","Students with Disabilities","*","*"
"Columbia School District","=""0300011""","Students with Disabilities","*","*"
"Cornwall School District","=""0310011""","Students with Disabilities","N/A","*"
"Coventry School District","=""0320011""","Students with Disabilities",24,10.0
"Cromwell School District","=""0330011""","Students with Disabilities",34,14.3
"Danbury School District","=""0340011""","Students with Disabilities",185,13.5
"Darien School District","=""0350011""","Students with Disabilities",12,1.8
"Deep River School District","=""0360011""","Students with Disabilities","*","*"
"Derby School District","=""0370011""","Students with Disabilities",36,16.7
"Eastford School District","=""0390011""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","Students with Disabilities",10,9.3
"East Haddam School District","=""0410011""","Students with Disabilities","N/A","N/A"
"East Hampton School District","=""0420011""","Students with Disabilities",14,7.7
"East Hartford School District","=""0430011""","Students with Disabilities",273,21.6
"East Haven School District","=""0440011""","Students with Disabilities",51,10.9
"East Lyme School District","=""0450011""","Students with Disabilities",31,7.4
"Easton School District","=""0460011""","Students with Disabilities","*","*"
"East Windsor School District","=""0470011""","Students with Disabilities",37,16.3
"Ellington School District","=""0480011""","Students with Disabilities",36,10.7
"Enfield School District","=""0490011""","Students with Disabilities",129,15.4
"Essex School District","=""0500011""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Students with Disabilities",58,4.5
"Farmington School District","=""0520011""","Students with Disabilities",26,5.1
"Franklin School District","=""0530011""","Students with Disabilities","*","*"
"Glastonbury School District","=""0540011""","Students with Disabilities",40,5.6
"Granby School District","=""0560011""","Students with Disabilities",9,4.3
"Greenwich School District","=""0570011""","Students with Disabilities",58,6.0
"Griswold School District","=""0580011""","Students with Disabilities",41,13.3
"Groton School District","=""0590011""","Students with Disabilities",122,14.5
"Guilford School District","=""0600011""","Students with Disabilities",29,6.9
"Hamden School District","=""0620011""","Students with Disabilities",133,15.3
"Hampton School District","=""0630011""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","Students with Disabilities",784,20.7
"Hartland School District","=""0650011""","Students with Disabilities","N/A","N/A"
"Hebron School District","=""0670011""","Students with Disabilities","*","*"
"Kent School District","=""0680011""","Students with Disabilities","N/A","N/A"
"Killingly School District","=""0690011""","Students with Disabilities",67,15.0
"Lebanon School District","=""0710011""","Students with Disabilities",6,3.1
"Ledyard School District","=""0720011""","Students with Disabilities",26,6.3
"Lisbon School District","=""0730011""","Students with Disabilities",8,10.4
"Litchfield School District","=""0740011""","Students with Disabilities",13,10.1
"Madison School District","=""0760011""","Students with Disabilities",28,6.6
"Manchester School District","=""0770011""","Students with Disabilities",181,19.0
"Mansfield School District","=""0780011""","Students with Disabilities",7,3.9
"Marlborough School District","=""0790011""","Students with Disabilities","*","*"
"Meriden School District","=""0800011""","Students with Disabilities",321,21.3
"Middletown School District","=""0830011""","Students with Disabilities",100,14.5
"Milford School District","=""0840011""","Students with Disabilities",100,10.7
"Monroe School District","=""0850011""","Students with Disabilities",15,3.6
"Montville School District","=""0860011""","Students with Disabilities",35,10.3
"Naugatuck School District","=""0880011""","Students with Disabilities",105,15.6
"New Britain School District","=""0890011""","Students with Disabilities",432,23.6
"New Canaan School District","=""0900011""","Students with Disabilities","N/A","N/A"
"New Fairfield School District","=""0910011""","Students with Disabilities",32,10.0
"New Hartford School District","=""0920011""","Students with Disabilities","N/A","N/A"
"New Haven School District","=""0930011""","Students with Disabilities",311,11.7
"Newington School District","=""0940011""","Students with Disabilities",65,10.7
"New London School District","=""0950011""","Students with Disabilities",176,28.2
"New Milford School District","=""0960011""","Students with Disabilities",96,14.0
"Newtown School District","=""0970011""","Students with Disabilities",29,6.1
"Norfolk School District","=""0980011""","Students with Disabilities","N/A","N/A"
"North Branford School District","=""0990011""","Students with Disabilities",52,15.9
"North Canaan School District","=""1000011""","Students with Disabilities","*","*"
"North Haven School District","=""1010011""","Students with Disabilities",31,8.0
"North Stonington School District","=""1020011""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Students with Disabilities",194,13.9
"Norwich School District","=""1040011""","Students with Disabilities",108,14.6
"Old Saybrook School District","=""1060011""","Students with Disabilities",24,10.0
"Orange School District","=""1070011""","Students with Disabilities","N/A","N/A"
"Oxford School District","=""1080011""","Students with Disabilities","*","*"
"Plainfield School District","=""1090011""","Students with Disabilities",57,17.0
"Plainville School District","=""1100011""","Students with Disabilities",33,8.9
"Plymouth School District","=""1110011""","Students with Disabilities",18,6.7
"Pomfret School District","=""1120011""","Students with Disabilities","*","*"
"Portland School District","=""1130011""","Students with Disabilities",13,8.5
"Preston School District","=""1140011""","Students with Disabilities","*","*"
"Putnam School District","=""1160011""","Students with Disabilities",29,12.8
"Redding School District","=""1170011""","Students with Disabilities",8,4.6
"Ridgefield School District","=""1180011""","Students with Disabilities",16,3.0
"Rocky Hill School District","=""1190011""","Students with Disabilities",14,5.4
"Salem School District","=""1210011""","Students with Disabilities","*","*"
"Salisbury School District","=""1220011""","Students with Disabilities","*","*"
"Scotland School District","=""1230011""","Students with Disabilities","N/A","N/A"
"Seymour School District","=""1240011""","Students with Disabilities",40,14.1
"Sharon School District","=""1250011""","Students with Disabilities","*","*"
"Shelton School District","=""1260011""","Students with Disabilities",68,9.9
"Sherman School District","=""1270011""","Students with Disabilities","N/A","N/A"
"Simsbury School District","=""1280011""","Students with Disabilities",28,4.8
"Somers School District","=""1290011""","Students with Disabilities",15,7.5
"Southington School District","=""1310011""","Students with Disabilities",72,7.7
"South Windsor School District","=""1320011""","Students with Disabilities",50,7.7
"Sprague School District","=""1330011""","Students with Disabilities",6,15.8
"Stafford School District","=""1340011""","Students with Disabilities",29,13.6
"Stamford School District","=""1350011""","Students with Disabilities",103,5.6
"Sterling School District","=""1360011""","Students with Disabilities","N/A","N/A"
"Stonington School District","=""1370011""","Students with Disabilities",43,12.4
"Stratford School District","=""1380011""","Students with Disabilities",122,14.7
"Suffield School District","=""1390011""","Students with Disabilities",12,4.1
"Thomaston School District","=""1400011""","Students with Disabilities",19,12.2
"Thompson School District","=""1410011""","Students with Disabilities",19,12.7
"Tolland School District","=""1420011""","Students with Disabilities",21,5.9
"Torrington School District","=""1430011""","Students with Disabilities",130,15.4
"Trumbull School District","=""1440011""","Students with Disabilities",30,4.3
"Union School District","=""1450011""","Students with Disabilities","N/A","*"
"Vernon School District","=""1460011""","Students with Disabilities",76,14.6
"Voluntown School District","=""1470011""","Students with Disabilities","N/A","N/A"
"Wallingford School District","=""1480011""","Students with Disabilities",94,11.0
"Waterbury School District","=""1510011""","Students with Disabilities",959,27.7
"Waterford School District","=""1520011""","Students with Disabilities",45,12.1
"Watertown School District","=""1530011""","Students with Disabilities",64,15.9
"Westbrook School District","=""1540011""","Students with Disabilities",9,8.3
"West Hartford School District","=""1550011""","Students with Disabilities",84,6.7
"West Haven School District","=""1560011""","Students with Disabilities",94,10.2
"Weston School District","=""1570011""","Students with Disabilities",10,4.0
"Westport School District","=""1580011""","Students with Disabilities",16,2.4
"Wethersfield School District","=""1590011""","Students with Disabilities",47,9.0
"Willington School District","=""1600011""","Students with Disabilities",6,7.2
"Wilton School District","=""1610011""","Students with Disabilities",12,2.0
"Winchester School District","=""1620011""","Students with Disabilities",12,8.1
"Windham School District","=""1630011""","Students with Disabilities",170,29.9
"Windsor School District","=""1640011""","Students with Disabilities",125,21.0
"Windsor Locks School District","=""1650011""","Students with Disabilities",30,11.6
"Wolcott School District","=""1660011""","Students with Disabilities",30,11.6
"Woodbridge School District","=""1670011""","Students with Disabilities","*","*"
"Woodstock School District","=""1690011""","Students with Disabilities","*","*"
"Regional School District 01","=""2010012""","Students with Disabilities",9,18.4
"Regional School District 04","=""2040012""","Students with Disabilities",17,12.1
"Regional School District 05","=""2050012""","Students with Disabilities",20,7.4
"Regional School District 06","=""2060012""","Students with Disabilities",13,8.5
"Regional School District 07","=""2070012""","Students with Disabilities",9,6.4
"Regional School District 08","=""2080012""","Students with Disabilities",44,19.8
"Regional School District 09","=""2090012""","Students with Disabilities","*","*"
"Regional School District 10","=""2100012""","Students with Disabilities",27,9.1
"Regional School District 11","=""2110012""","Students with Disabilities",13,19.7
"Regional School District 12","=""2120012""","Students with Disabilities",14,10.4
"Regional School District 13","=""2130012""","Students with Disabilities",13,4.0
"Regional School District 14","=""2140012""","Students with Disabilities",20,8.8
"Regional School District 15","=""2150012""","Students with Disabilities",29,5.0
"Regional School District 16","=""2160012""","Students with Disabilities",31,9.2
"Regional School District 17","=""2170012""","Students with Disabilities",30,8.0
"Regional School District 18","=""2180012""","Students with Disabilities",8,4.2
"Regional School District 19","=""2190012""","Students with Disabilities",28,13.9
"Capitol Region Education Council","=""2410014""","Students with Disabilities",119,11.5
"Education Connection","=""2420014""","Students with Disabilities",7,18.9
"Cooperative Educational Services","=""2430014""","Students with Disabilities",34,8.9
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",118,15.3
"Learn","=""2450014""","Students with Disabilities",22,8.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",15,12.3
"Jumoke Academy District","=""2610013""","Students with Disabilities","*","*"
"Odyssey Community School District","=""2630013""","Students with Disabilities","*","*"
"Integrated Day Charter School District","=""2640013""","Students with Disabilities","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Students with Disabilities",6,16.7
"Common Ground High School District","=""2680013""","Students with Disabilities","*","*"
"The Bridge Academy District","=""2690013""","Students with Disabilities",10,22.7
"Side By Side Charter School District","=""2700013""","Students with Disabilities","*","*"
"Explorations District","=""2720013""","Students with Disabilities","*","*"
"Trailblazers Academy District","=""2780013""","Students with Disabilities","*","*"
"Amistad Academy District","=""2790013""","Students with Disabilities",24,46.2
"New Beginnings Inc., Family Academy District","=""2800013""","Students with Disabilities",6,16.7
"Stamford Academy District","=""2820013""","Students with Disabilities","*","*"
"Park City Prep Charter School District","=""2830013""","Students with Disabilities",8,36.4
"Bridgeport Achievement First District","=""2850013""","Students with Disabilities",18,28.6
"Highville Charter School District","=""2860013""","Students with Disabilities","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Students with Disabilities",42,55.3
"Elm City College Preparatory School District","=""2890013""","Students with Disabilities",19,41.3
"Unified School District #1","=""3360015""","Students with Disabilities","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities","N/A","*"
"Unified School District #2","=""3470015""","Students with Disabilities",53,27.2
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",185,23.0
"Norwich Free Academy District","=""9010022""","Students with Disabilities",73,27.3
"The Gilbert School District","=""9020022""","Students with Disabilities",26,34.2
"Woodstock Academy District","=""9030022""","Students with Disabilities","*","*"

