"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Achievement First Hartford Academy Inc. District","","2009-2010","Students with Disabilities","Suspensions","Percent","40.0"
"Achievement First Hartford Academy Inc. District","","2010-2011","Students with Disabilities","Suspensions","Percent","47.1"
"Achievement First Hartford Academy Inc. District","","2011-2012","Students with Disabilities","Suspensions","Percent","47.5"
"Achievement First Hartford Academy Inc. District","","2012-2013","Students with Disabilities","Suspensions","Percent","55.3"
"Achievement First Hartford Academy Inc. District","","2013-2014","Students with Disabilities","Suspensions","Percent","37.3"
"Achievement First Hartford Academy Inc. District","","2014-2015","Students with Disabilities","Suspensions","Percent","36.7"
"Achievement First Hartford Academy Inc. District","","2015-2016","Students with Disabilities","Suspensions","Percent","29.8"
"Achievement First Hartford Academy Inc. District","","2016-2017","Students with Disabilities","Suspensions","Percent","29.6"
"Achievement First Hartford Academy Inc. District","","2017-2018","Students with Disabilities","Suspensions","Percent","16.5"
"Amistad Academy District","","2009-2010","Students with Disabilities","Suspensions","Percent","25.0"
"Amistad Academy District","","2010-2011","Students with Disabilities","Suspensions","Percent","17.9"
"Amistad Academy District","","2011-2012","Students with Disabilities","Suspensions","Percent","29.6"
"Amistad Academy District","","2012-2013","Students with Disabilities","Suspensions","Percent","46.2"
"Amistad Academy District","","2013-2014","Students with Disabilities","Suspensions","Percent","55.7"
"Amistad Academy District","","2014-2015","Students with Disabilities","Suspensions","Percent","50.0"
"Amistad Academy District","","2015-2016","Students with Disabilities","Suspensions","Percent","65.6"
"Amistad Academy District","","2016-2017","Students with Disabilities","Suspensions","Percent","48.5"
"Amistad Academy District","","2017-2018","Students with Disabilities","Suspensions","Percent","33.3"
"Andover School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Andover School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Andover School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Andover School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Andover School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Andover School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Andover School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-6666"
